2023-07-25 11:48:09 Moto contagem 1 C-1 SAIDA
2023-07-25 11:48:10 Moto contagem 1 C-1 SAIDA
2023-07-25 11:48:12 Moto contagem 1 C-1 SAIDA
2023-07-25 11:48:14 Moto contagem 1 C-1 SAIDA
2023-07-25 11:48:14 Moto contagem 1 C-1 SAIDA
2023-07-25 11:48:16 Moto contagem 1 C-1 SAIDA
2023-07-25 11:48:19 Moto contagem 1 C-1 SAIDA
2023-07-25 11:48:21 Moto contagem 1 C-1 SAIDA
2023-07-25 11:48:22 Moto contagem 1 C-1 SAIDA
2023-07-25 11:48:23 Moto contagem 1 C-1 SAIDA
2023-07-25 11:48:24 Moto contagem 1 C-1 SAIDA
2023-07-25 11:48:34 Moto contagem 1 C-1 SAIDA
2023-07-25 11:48:34 Moto contagem 1 C-1 SAIDA
2023-07-25 11:48:40 Moto contagem 1 C-1 SAIDA
2023-07-25 11:48:42 Moto contagem 1 C-1 SAIDA
2023-07-25 11:48:44 Moto contagem 1 C-1 SAIDA
2023-07-25 11:48:44 Moto contagem 1 C-1 SAIDA
2023-07-25 11:48:45 Moto contagem 1 C-1 SAIDA
2023-07-25 11:48:49 Moto contagem 1 C-1 SAIDA
2023-07-25 11:48:50 Moto contagem 1 C-1 SAIDA
2023-07-25 11:48:50 Moto contagem 1 C-1 SAIDA
2023-07-25 11:48:52 Moto contagem 1 C-1 SAIDA
2023-07-25 11:48:56 Moto contagem 1 C-1 SAIDA
2023-07-25 11:49:01 Moto contagem 1 C-1 SAIDA
2023-07-25 11:49:01 Moto contagem 1 C-1 SAIDA
2023-07-25 11:49:01 Moto contagem 1 C-1 SAIDA
2023-07-25 11:49:04 Moto contagem 1 C-1 SAIDA
2023-07-25 11:52:52 Moto contagem 1 C-1 SAIDA
2023-07-25 11:52:53 Moto contagem 1 C-1 SAIDA
2023-07-25 11:52:56 Moto contagem 1 C-1 SAIDA
2023-07-25 11:52:59 Moto contagem 1 C-1 SAIDA
2023-07-25 11:52:59 Moto contagem 1 C-1 SAIDA
2023-07-25 11:53:01 Moto contagem 1 C-1 SAIDA
2023-07-25 11:53:03 Moto contagem 1 C-1 SAIDA
2023-07-25 11:53:06 Moto contagem 1 C-1 SAIDA
2023-07-25 11:53:06 Moto contagem 1 C-1 SAIDA
2023-07-25 11:53:08 Moto contagem 1 C-1 SAIDA
